N,Model,Value,Amplitude,Machine
512,alpha,0.25,1.0,yoga
512,alpha,0.25,1.3158,stay
512,alpha,0.25,1.6316,yoga
512,alpha,0.25,1.9474,mac
512,alpha,0.25,2.2632,stay
512,alpha,0.25,2.5789,mac
512,alpha,0.25,2.8947,stay
512,alpha,0.25,3.2105,stay
512,alpha,0.25,3.5263,stay
512,alpha,0.25,3.8421,yoga
512,alpha,0.25,4.1579,yoga
512,alpha,0.25,4.4737,yoga
512,alpha,0.25,4.7895,stay
512,alpha,0.25,5.1053,stay
512,alpha,0.25,5.4211,stay
512,alpha,0.25,5.7368,mac
512,alpha,0.25,6.0526,stay
512,alpha,0.25,6.3684,stay
512,alpha,0.25,6.6842,mac
512,alpha,0.25,7.0,yoga
1024,alpha,0.25,5.0,yoga
1024,alpha,0.25,6.0526,stay
1024,alpha,0.25,7.1053,yoga
1024,alpha,0.25,8.1579,yoga
1024,alpha,0.25,9.2105,stay
1024,alpha,0.25,10.2632,stay
1024,alpha,0.25,11.3158,stay
1024,alpha,0.25,12.3684,yoga
1024,alpha,0.25,13.4211,yoga
1024,alpha,0.25,14.4737,yoga
1024,alpha,0.25,15.5263,yoga
1024,alpha,0.25,16.5789,stay
1024,alpha,0.25,17.6316,stay
1024,alpha,0.25,18.6842,yoga
1024,alpha,0.25,19.7368,yoga
1024,alpha,0.25,20.7895,yoga
1024,alpha,0.25,21.8421,stay
1024,alpha,0.25,22.8947,stay
1024,alpha,0.25,23.9474,stay
1024,alpha,0.25,25.0,stay
2048,alpha,0.25,20.0,mac
2048,alpha,0.25,24.2105,stay
2048,alpha,0.25,28.4211,stay
2048,alpha,0.25,32.6316,stay
2048,alpha,0.25,36.8421,stay
2048,alpha,0.25,41.0526,yoga
2048,alpha,0.25,45.2632,mac
2048,alpha,0.25,49.4737,mac
2048,alpha,0.25,53.6842,stay
2048,alpha,0.25,57.8947,mac
2048,alpha,0.25,62.1053,stay
2048,alpha,0.25,66.3158,yoga
2048,alpha,0.25,70.5263,mac
2048,alpha,0.25,74.7368,yoga
2048,alpha,0.25,78.9474,stay
2048,alpha,0.25,83.1579,stay
2048,alpha,0.25,87.3684,stay
2048,alpha,0.25,91.5789,yoga
2048,alpha,0.25,95.7895,yoga
2048,alpha,0.25,100.0,yoga
4096,alpha,0.25,100.0,mac
4096,alpha,0.25,121.0526,stay
4096,alpha,0.25,142.1053,yoga
4096,alpha,0.25,163.1579,mac
4096,alpha,0.25,184.2105,yoga
4096,alpha,0.25,205.2632,yoga
4096,alpha,0.25,226.3158,yoga
4096,alpha,0.25,247.3684,yoga
4096,alpha,0.25,268.4211,stay
4096,alpha,0.25,289.4737,stay
4096,alpha,0.25,310.5263,yoga
4096,alpha,0.25,331.5789,mac
4096,alpha,0.25,352.6316,stay
4096,alpha,0.25,373.6842,stay
4096,alpha,0.25,394.7368,yoga
4096,alpha,0.25,415.7895,mac
4096,alpha,0.25,436.8421,yoga
4096,alpha,0.25,457.8947,mac
4096,alpha,0.25,478.9474,stay
4096,alpha,0.25,500.0,yoga
512,beta,1.0,4.0,stay
512,beta,1.0,5.1579,stay
512,beta,1.0,6.3158,stay
512,beta,1.0,7.4737,stay
512,beta,1.0,8.6316,mac
512,beta,1.0,9.7895,stay
512,beta,1.0,10.9474,yoga
512,beta,1.0,12.1053,yoga
512,beta,1.0,13.2632,stay
512,beta,1.0,14.4211,stay
512,beta,1.0,15.5789,yoga
512,beta,1.0,16.7368,stay
512,beta,1.0,17.8947,stay
512,beta,1.0,19.0526,yoga
512,beta,1.0,20.2105,yoga
512,beta,1.0,21.3684,mac
512,beta,1.0,22.5263,mac
512,beta,1.0,23.6842,stay
512,beta,1.0,24.8421,stay
512,beta,1.0,26.0,mac
1024,beta,1.0,8.0,stay
1024,beta,1.0,10.1053,yoga
1024,beta,1.0,12.2105,stay
1024,beta,1.0,14.3158,stay
1024,beta,1.0,16.4211,yoga
1024,beta,1.0,18.5263,yoga
1024,beta,1.0,20.6316,mac
1024,beta,1.0,22.7368,yoga
1024,beta,1.0,24.8421,yoga
1024,beta,1.0,26.9474,stay
1024,beta,1.0,29.0526,yoga
1024,beta,1.0,31.1579,stay
1024,beta,1.0,33.2632,stay
1024,beta,1.0,35.3684,mac
1024,beta,1.0,37.4737,yoga
1024,beta,1.0,39.5789,yoga
1024,beta,1.0,41.6842,stay
1024,beta,1.0,43.7895,stay
1024,beta,1.0,45.8947,mac
1024,beta,1.0,48.0,stay
2048,beta,1.0,18.0,stay
2048,beta,1.0,23.2632,mac
2048,beta,1.0,28.5263,stay
2048,beta,1.0,33.7895,yoga
2048,beta,1.0,39.0526,stay
2048,beta,1.0,44.3158,mac
2048,beta,1.0,49.5789,yoga
2048,beta,1.0,54.8421,mac
2048,beta,1.0,60.1053,yoga
2048,beta,1.0,65.3684,yoga
2048,beta,1.0,70.6316,stay
2048,beta,1.0,75.8947,stay
2048,beta,1.0,81.1579,stay
2048,beta,1.0,86.4211,stay
2048,beta,1.0,91.6842,yoga
2048,beta,1.0,96.9474,yoga
2048,beta,1.0,102.2105,yoga
2048,beta,1.0,107.4737,stay
2048,beta,1.0,112.7368,yoga
2048,beta,1.0,118.0,stay
4096,beta,1.0,50.0,stay
4096,beta,1.0,65.2632,stay
4096,beta,1.0,80.5263,stay
4096,beta,1.0,95.7895,stay
4096,beta,1.0,111.0526,mac
4096,beta,1.0,126.3158,stay
4096,beta,1.0,141.5789,yoga
4096,beta,1.0,156.8421,stay
4096,beta,1.0,172.1053,stay
4096,beta,1.0,187.3684,stay
4096,beta,1.0,202.6316,stay
4096,beta,1.0,217.8947,mac
4096,beta,1.0,233.1579,yoga
4096,beta,1.0,248.4211,stay
4096,beta,1.0,263.6842,yoga
4096,beta,1.0,278.9474,mac
4096,beta,1.0,294.2105,stay
4096,beta,1.0,309.4737,yoga
4096,beta,1.0,324.7368,mac
4096,beta,1.0,340.0,yoga
